hasPeak.An_rpdA_20h_HA_1	hasPeak.An_rpdA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0002682	regulation of immune system process	1	1/1033	AN11054
FALSE	TRUE	2	GO:0002684	positive regulation of immune system process	1	1/1033	AN11054
FALSE	TRUE	2	GO:0006955	immune response	1	1/1033	AN11054
FALSE	TRUE	2	GO:0016049	cell growth	7	7/1033	AN4719/AN8216/AN7487/AN7695/AN1016/AN2854/AN11956
FALSE	TRUE	2	GO:0007117	budding cell bud growth	1	1/1033	AN7487
FALSE	TRUE	2	GO:0030447	filamentous growth	47	47/1033	AN4953/AN4905/AN4632/AN4469/AN8071/AN8182/AN8216/AN11054/AN11071/AN3913/AN10929/AN7104/AN7487/AN7602/AN7678/AN7695/AN6305/AN6293/AN6145/AN12121/AN6533/AN12122/AN12408/AN10184/AN1237/AN1123/AN1016/AN0910/AN0568/AN10064/AN0290/AN0256/AN0144/AN8877/AN1462/AN1545/AN1733/AN2047/AN2212/AN3110/AN2901/AN2854/AN2752/AN5105/AN10638/AN5778/AN11956
FALSE	TRUE	2	GO:0040008	regulation of growth	13	13/1033	AN4905/AN4719/AN3913/AN10929/AN7487/AN7695/AN6305/AN1237/AN1016/AN0568/AN0559/AN1485/AN2854
FALSE	TRUE	2	GO:0045926	negative regulation of growth	3	3/1033	AN10929/AN1237/AN2854
FALSE	TRUE	2	GO:0045927	positive regulation of growth	7	7/1033	AN4905/AN4719/AN3913/AN7487/AN7695/AN6305/AN1016
FALSE	TRUE	2	GO:0048589	developmental growth	1	1/1033	AN4719
FALSE	TRUE	2	GO:0007059	chromosome segregation	11	11/1033	AN8751/AN9467/AN3579/AN6553/AN1170/AN0166/AN2438/AN2439/AN3111/AN10336/AN5495
FALSE	TRUE	2	GO:0007017	microtubule-based process	4	4/1033	AN4664/AN8751/AN3579/AN2047
FALSE	TRUE	2	GO:0000075	cell cycle checkpoint	7	7/1033	AN8751/AN9467/AN3737/AN3619/AN1207/AN2439/AN5495
FALSE	TRUE	2	GO:0000920	septum digestion after cytokinesis	4	4/1033	AN8182/AN7349/AN7487/AN0472
FALSE	TRUE	2	GO:0006457	protein folding	3	3/1033	AN3598/AN6145/AN1205
FALSE	TRUE	2	GO:0007165	signal transduction	29	29/1033	AN4998/AN4953/AN4795/AN4719/AN4536/AN8796/AN8751/AN9467/AN4281/AN3913/AN3598/AN7487/AN7602/AN10999/AN7695/AN6305/AN6820/AN1016/AN0770/AN0576/AN1545/AN1850/AN2363/AN2439/AN11188/AN3435/AN2947/AN5105/AN5791
FALSE	TRUE	2	GO:0006928	movement of cell or subcellular component	2	2/1033	AN4664/AN8751
FALSE	TRUE	2	GO:0006949	syncytium formation	2	2/1033	AN4632/AN8071
FALSE	TRUE	2	GO:0007049	cell cycle	44	44/1033	AN4632/AN4601/AN4555/AN4453/AN4407/AN8751/AN9467/AN8071/AN8182/AN3737/AN11721/AN3619/AN3594/AN3579/AN7104/AN7487/AN7678/AN6305/AN6145/AN6069/AN6553/AN6578/AN6749/AN1237/AN1207/AN1170/AN1016/AN0472/AN0290/AN0166/AN0144/AN1545/AN10229/AN1965/AN2047/AN2426/AN2438/AN2439/AN3435/AN3111/AN2854/AN10336/AN5778/AN5495
FALSE	TRUE	2	GO:0007154	cell communication	43	43/1033	AN4998/AN4953/AN4795/AN4719/AN11913/AN4536/AN4469/AN8796/AN8751/AN9467/AN4281/AN4166/AN3913/AN3598/AN3594/AN7104/AN7487/AN7602/AN10999/AN7695/AN6305/AN6293/AN6145/AN6820/AN1016/AN0910/AN0770/AN0576/AN10064/AN0167/AN1545/AN1733/AN1850/AN2180/AN2363/AN2439/AN11188/AN3435/AN3110/AN2947/AN5105/AN5791/AN5778
FALSE	TRUE	2	GO:0007163	establishment or maintenance of cell polarity	10	10/1033	AN4953/AN4536/AN8751/AN8182/AN7487/AN6533/AN1485/AN2877/AN5105/AN5786
FALSE	TRUE	2	GO:0008219	cell death	4	4/1033	AN3913/AN10184/AN10229/AN10673
FALSE	TRUE	2	GO:0019835	cytolysis	1	1/1033	AN10184
