hasPeak.An_ecoA_20h_HA_1	hasPeak.An_ecoA_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0031640	killing of cells of other organism	1	1/1280	AN3583
FALSE	TRUE	2	GO:0002682	regulation of immune system process	1	1/1280	AN3583
FALSE	TRUE	2	GO:0002684	positive regulation of immune system process	1	1/1280	AN3583
FALSE	TRUE	2	GO:0006955	immune response	1	1/1280	AN3583
FALSE	TRUE	2	GO:0016049	cell growth	11	11/1280	AN4743/AN10516/AN7487/AN6037/AN5803/AN1324/AN10171/AN1171/AN1168/AN1025/AN2067
FALSE	TRUE	2	GO:0007117	budding cell bud growth	4	4/1280	AN4496/AN7487/AN1324/AN1025
FALSE	TRUE	2	GO:0030447	filamentous growth	56	56/1280	AN5010/AN4953/AN4743/AN4716/AN4685/AN12465/AN4570/AN4416/AN8863/AN8071/AN10516/AN4189/AN3683/AN3636/AN3583/AN7032/AN7487/AN7678/AN7698/AN6293/AN6037/AN10763/AN5803/AN6685/AN10854/AN6892/AN6893/AN1324/AN10171/AN1171/AN1168/AN1123/AN1025/AN1017/AN0667/AN0651/AN0568/AN0253/AN8877/AN12473/AN1418/AN1539/AN1573/AN1733/AN11793/AN1844/AN2067/AN2489/AN2516/AN3385/AN3188/AN3095/AN3026/AN2901/AN8414/AN5774
FALSE	TRUE	2	GO:0040008	regulation of growth	18	18/1280	AN8825/AN7487/AN7698/AN1171/AN1017/AN0651/AN0636/AN0568/AN0559/AN1485/AN1539/AN11793/AN1844/AN2067/AN2306/AN2489/AN8414/AN5341
FALSE	TRUE	2	GO:0044110	growth involved in symbiotic interaction	2	2/1280	AN5885/AN8414
FALSE	TRUE	2	GO:0045926	negative regulation of growth	2	2/1280	AN1017/AN2489
FALSE	TRUE	2	GO:0045927	positive regulation of growth	6	6/1280	AN7487/AN7698/AN11793/AN1844/AN2067/AN8414
