hasPeak.An_kdmB_20h_HA_1	hasPeak.An_kdmB_48h_HA_1	group	ID	Description	Count	GeneRatio	geneID
FALSE	TRUE	2	GO:0002682	regulation of immune system process	1	1/1077	AN3583
FALSE	TRUE	2	GO:0002684	positive regulation of immune system process	1	1/1077	AN3583
FALSE	TRUE	2	GO:0006955	immune response	1	1/1077	AN3583
FALSE	TRUE	2	GO:0016049	cell growth	13	13/1077	AN4896/AN4743/AN4332/AN7487/AN6037/AN5803/AN1324/AN1171/AN1168/AN1016/AN0106/AN2269/AN5797
FALSE	TRUE	2	GO:0007117	budding cell bud growth	3	3/1077	AN4496/AN7487/AN1324
FALSE	TRUE	2	GO:0030447	filamentous growth	44	44/1077	AN5057/AN4896/AN4743/AN4685/AN12465/AN4332/AN4278/AN4238/AN10515/AN4167/AN12478/AN3735/AN3683/AN3583/AN10929/AN7104/AN7032/AN7487/AN7678/AN7687/AN7698/AN6293/AN6037/AN5803/AN6487/AN6892/AN6893/AN12408/AN1324/AN1171/AN1168/AN1123/AN1016/AN0568/AN0253/AN0163/AN0081/AN8877/AN1733/AN2212/AN2269/AN2516/AN2901/AN5632
FALSE	TRUE	2	GO:0040008	regulation of growth	12	12/1077	AN4783/AN4238/AN4167/AN10929/AN7487/AN7698/AN1171/AN1016/AN0568/AN0163/AN1485/AN5797
FALSE	TRUE	2	GO:0044110	growth involved in symbiotic interaction	1	1/1077	AN5885
FALSE	TRUE	2	GO:0045926	negative regulation of growth	2	2/1077	AN4238/AN10929
FALSE	TRUE	2	GO:0045927	positive regulation of growth	4	4/1077	AN4238/AN7487/AN7698/AN1016
FALSE	TRUE	2	GO:0048589	developmental growth	6	6/1077	AN4783/AN4743/AN4332/AN1168/AN0106/AN5797
FALSE	TRUE	2	GO:0007059	chromosome segregation	14	14/1077	AN5057/AN8751/AN3735/AN3710/AN3579/AN1399/AN0253/AN1922/AN2141/AN2143/AN2438/AN2439/AN10336/AN5631
FALSE	TRUE	2	GO:0007017	microtubule-based process	10	10/1077	AN5057/AN8751/AN3710/AN3589/AN3579/AN7547/AN1324/AN0420/AN3062/AN5797
