sampleId	data_type	TF	timepoint	IP_tag	rep	complex	control	peakType	color
An_H3K4Me3_kdmA_del_48h_HIST_1	HIST	H3K4Me3_kdmA_del	48h	HIST	1	kdmA	An_H3_kdmA_del_48h_HIST_1	.	black,yellow
An_H3K9Ac_cclA_del_20h_HIST_1	HIST	H3K9Ac_cclA_del	20h	HIST	1	kdmA	An_H3_cclA_del_20h_HIST_1	.	black,yellow
An_H3K9Ac_cclA_del_48h_HIST_1	HIST	H3K9Ac_cclA_del	48h	HIST	1	kdmA	An_H3_cclA_del_48h_HIST_1	.	black,yellow
An_H3K9Ac_kdmA_del_20h_HIST_1	HIST	H3K9Ac_kdmA_del	20h	HIST	1	kdmA	An_H3_kdmA_del_20h_HIST_1	.	black,yellow
An_H3K9Me3_cclA_del_20h_HIST_1	HIST	H3K9Me3_cclA_del	20h	HIST	1	kdmA	An_H3_cclA_del_20h_HIST_1	.	black,yellow
An_H3K9Me3_cclA_del_48h_HIST_1	HIST	H3K9Me3_cclA_del	48h	HIST	1	kdmA	An_H3_cclA_del_48h_HIST_1	.	black,yellow
An_H3K9Me3_kdmA_del_20h_HIST_1	HIST	H3K9Me3_kdmA_del	20h	HIST	1	kdmA	An_H3_kdmA_del_20h_HIST_1	.	black,yellow
An_H3K9Me3_kdmA_del_48h_HIST_1	HIST	H3K9Me3_kdmA_del	48h	HIST	1	kdmA	An_H3_kdmA_del_48h_HIST_1	.	black,yellow
An_kdmA_20h_HA_1	TF	kdmA	20h	HA	1	kdmA	An_untagged_20h_HA_1	narrow	white,red
An_kdmA_20h_HA_2	TF	kdmA	20h	HA	2	kdmA	An_untagged_20h_HA_2	narrow	white,red
An_kdmA_48h_HA_1	TF	kdmA	48h	HA	1	kdmA	An_untagged_48h_HA_1	narrow	white,red
An_kdmA_48h_HA_2	TF	kdmA	48h	HA	2	kdmA	An_untagged_48h_HA_2	narrow	white,red
An_kdmA_del_20h_polII_1	polII	kdmA_del	20h	polII	1	kdmA	An_untagged_20h_polII_1	.	white,red
An_kdmA_del_20h_polII_2	polII	kdmA_del	20h	polII	2	kdmA	An_untagged_20h_polII_2	.	white,red
An_kdmA_del_20h_polII_2_FAIL	polII	kdmA_del	20h	polII	2_FAIL	kdmA	An_untagged_20h_polII_2	.	white,red
An_kdmA_del_48h_polII_1	polII	kdmA_del	48h	polII	1	kdmA	An_untagged_48h_polII_1	.	white,red
An_kdmA_del_48h_polII_2	polII	kdmA_del	48h	polII	2	kdmA	An_untagged_48h_polII_2	.	white,red
An_kdmA_del_48h_polII_2_FAIL	polII	kdmA_del	48h	polII	2_FAIL	kdmA	An_untagged_48h_polII_2	.	white,red
An_kdmA_short_20h_HA_1	TF	kdmA_short	20h	HA	1	kdmA	An_untagged_20h_HA_1	narrow	white,red
An_kdmA_short_20h_HA_2	TF	kdmA_short	20h	HA	2	kdmA	An_untagged_20h_HA_2	narrow	white,red
An_kdmA_short_48h_HA_1	TF	kdmA_short	48h	HA	1	kdmA	An_untagged_48h_HA_1	narrow	white,red
An_kdmA_short_48h_HA_2	TF	kdmA_short	48h	HA	2	kdmA	An_untagged_48h_HA_2	narrow	white,red
An_mcmA_20h_MYC_1	TF	mcmA	20h	MYC	1	kdmA	An_untagged_20h_MYC_1	narrow	white,red
An_mcmA_20h_MYC_2	TF	mcmA	20h	MYC	2	kdmA	An_untagged_20h_MYC_2	narrow	white,red
An_mcmA_48h_MYC_1	TF	mcmA	48h	MYC	1	kdmA	An_untagged_48h_MYC_1	narrow	white,red
An_mcmA_48h_MYC_2	TF	mcmA	48h	MYC	2	kdmA	An_untagged_48h_MYC_2	narrow	white,red
An_mcmA_kdmA_del_20h_MYC_1	TF	mcmA_kdmA_del	20h	MYC	1	kdmA	An_untagged_20h_MYC_1	narrow	white,red
An_mcmA_kdmA_del_20h_MYC_2	TF	mcmA_kdmA_del	20h	MYC	2	kdmA	An_untagged_20h_MYC_2	narrow	white,red
An_mcmA_kdmA_del_48h_MYC_1	TF	mcmA_kdmA_del	48h	MYC	1	kdmA	An_untagged_48h_MYC_1	narrow	white,red
An_mcmA_kdmA_del_48h_MYC_2	TF	mcmA_kdmA_del	48h	MYC	2	kdmA	An_untagged_48h_MYC_2	narrow	white,red
An_mcmA_teton_20h_polII_1	polII	mcmA_teton	20h	polII	1	kdmA	An_untagged_dox_20h_polII_1	.	white,red
An_mcmA_teton_20h_polII_2	polII	mcmA_teton	20h	polII	2	kdmA	An_untagged_dox_20h_polII_2	.	white,red
