sampleId	type	nBackground	genomicMedian	genomicMean	genomicBgMedian	genomicBgMean	mtMedian	mtMean
An_untagged_48h_HA_2	TF	30522	6.55829007053375	6.52321846542965	6.55829007053375	6.52321846542965	32.2835219678879	32.4752383556504
An_untagged_48h_input_1	TF	30522	6.12133100748062	6.32488421496807	6.12133100748062	6.32488421496807	209.525904056549	215.367360324025
An_untagged_20h_MYC_1	TF	30522	5.78806501317024	6.33467237000629	5.78806501317024	6.33467237000629	207.338330039978	212.700108668208
An_untagged_20h_MYC_2	TF	30522	6.40619003358483	6.43233822151209	6.40619003358483	6.43233822151209	115.86727286911	114.83140594845
An_untagged_48h_MYC_1	TF	30522	6.40052599048615	6.4603721746299	6.40052599048615	6.4603721746299	81.9924949893951	83.9276904980021
An_untagged_48h_MYC_2	TF	30522	6.60150248682499	6.53147553102816	6.60150248682499	6.53147553102816	28.0531483249664	28.578015981043
An_laeA_del_20h_polII_1	polII	4502	2.0133359401226	6.53425103652853	1.06976396691799	3.22682542900707	24.7527521944046	24.7971783242162
An_laeA_del_20h_polII_2	polII	4502	2.82332252258062	6.47643237219591	1.68523549836874	3.74185752723852	86.1438390312195	82.7875224113017
An_laeA_del_48h_polII_1	polII	4502	4.00584595036507	6.52848133574049	2.14730398511887	3.68935689589286	29.9353167881966	29.4833269380342
An_laeA_del_48h_polII_2	polII	4502	3.71420000970364	6.55240011120989	1.73726000529528	3.32777610707401	11.8876100013256	11.5624355438425
An_cclA_del_20h_polII_1	polII	4502	3.37717800182104	5.71974490286171	3.11320800918341	4.63520185530626	759.175325958252	760.744360012761
An_cclA_del_20h_polII_2	polII	4502	4.86135001450777	6.49522670730502	3.03369300547242	4.15719255715033	62.967293926239	63.3231994527529
An_cclA_del_48h_polII_1	polII	4502	5.83712001371384	6.40337455888955	6.0814310144186	5.83690060396402	143.215123256683	143.321621499409
An_cclA_del_48h_polII_2	polII	4502	4.79172747117281	6.51090297375746	3.11771248923242	4.49445249348465	46.2150119915009	46.438912405729
An_ecmB_del_20h_polII_1	polII	4502	3.64795200562477	6.51383522188803	1.7491039993763	3.09080561376506	43.183504034996	41.88183187309
An_ecmB_del_20h_polII_2	polII	4502	4.42462800073624	6.53041351103053	2.28214798003435	3.29884059438903	24.512751036644	24.1631762238636
An_ecmB_del_48h_polII_1	polII	4502	4.74512500536442	6.44071732329347	3.9756970154047	4.56557611694337	108.551393478394	106.199374793679
An_ecmB_del_48h_polII_2	polII	4502	5.72341798949242	6.51503082178099	3.42211399686337	4.12963619133491	38.8993940029144	38.9459240409584
An_kdmA_del_20h_polII_1	polII	4502	3.73477202033997	6.33284948071644	2.457540014714	3.9623876918231	202.506134048462	200.02572328526
An_kdmA_del_20h_polII_2	polII	4502	4.34919198662043	6.54434569124361	2.61979099404812	3.79513257094564	18.3527940545082	18.655404821239
